1.1650325021132713	1.9393152980718913	one	34	59	26
2.5897128466771324	3.3639956426357527	two	77	101	25
3.8595366320492692	4.664790739846235	three	115	140	26
5.40810222396651	6.2133563317634755	four	162	187	26
6.863753880368716	7.91677848287244	five	205	238	34
8.257462913094232	9.093688332729542	six	247	273	27
9.620200633981405	10.735167860161816	seven	288	323	36
11.261680161413679	12.004991645533954	eight	337	361	25
12.593446570462506	13.708413796642919	nine	377	412	36
14.1110408505414	14.978237582015055	ten	423	450	28
